url	download_complete
duttgroup.ics.uci.edu/doku.php/drg101_admin?do=resendpwd	incomplete
www.ics.uci.edu/~dechter/publications/r180.html	incomplete
www.ics.uci.edu/~redmiles/inf143-SQ09/schedule.html	incomplete
cml.ics.uci.edu/2015/05/center-member-and-ics-dean-hal-stern-to-help-lead-national-effort-to-improve-criminal-evidence-analysis-cut-wrongful-convictions	incomplete
duttgroup.ics.uci.edu/doku.php/group?tab_details=view&image=rahmani2.jpg&ns=&do=media	incomplete
swiki.ics.uci.edu/doku.php/brownbags?do=backlink	incomplete
dynamo.ics.uci.edu/docs.html	incomplete
sli.ics.uci.edu/Classes/2014S-274b?action=download&upname=HW4s.pdf	incomplete
www.ics.uci.edu/ugrad/internship	complete
mailman.ics.uci.edu/mailman/private/hana	incomplete
evoke.ics.uci.edu?one_page_portfolio=social-capital&replytocom=11077	incomplete
evoke.ics.uci.edu?one_page_portfolio=social-capital&replytocom=11076	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=&tab_files=files&do=media&tab_details=view&image=mahesh-mamidipaka.jpg	incomplete
www.ics.uci.edu/download/download.inc.php?pid=85&type=bib	incomplete
duttgroup.ics.uci.edu/doku.php/projects?image=kazuyuki-tanimura.jpg&ns=&tab_details=view&do=media	complete
www.ics.uci.edu/~shallman	complete
www.ics.uci.edu/~jianfeih	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=&tab_files=files&do=media&tab_details=view&image=mkyoon.jpg	incomplete
swiki.ics.uci.edu/doku.php/services:webmail?do=login&sectok=	complete
www.ics.uci.edu/download/download.inc.php?pid=386&type=bib	incomplete
duttgroup.ics.uci.edu/doku.php/photos?image=esweek2016.jpg&ns=&tab_details=view&do=media	incomplete
sli.ics.uci.edu/Classes/2011S-271?action=download&upname=ConnectFour.zip	incomplete
www.ics.uci.edu/%7Ebaldig/mutation.html	incomplete
www.ics.uci.edu/~qliu1/IMGLINKTARGET	incomplete
www.ics.uci.edu/grad/admissions	complete
cloudberry.ics.uci.edu	complete
mcs.ics.uci.edu/career/career-exploration	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=presentations&tab_files=files&do=media&tab_details=view&image=roger.jpg	incomplete
www.ics.uci.edu/250B/Spr13	complete
www.ics.uci.edu/download/download.inc.php?pid=10&type=bib	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_details=view&do=media&image=hamid.jpg&ns=	incomplete
mailman.ics.uci.edu/mailman/private/phd.softeng	incomplete
www.ics.uci.edu/~softtest/taos.html	incomplete
www.ics.uci.edu/~tlatoza	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=presentations&tab_files=files&do=media&tab_details=view&image=hosseini.jpg	incomplete
duttgroup.ics.uci.edu/doku.php/projects?image=bbq_2016.jpg&ns=&tab_details=view&do=media&tab_files=files	incomplete
www.ics.uci.edu/sao/Course_updates.php	complete
duttgroup.ics.uci.edu/doku.php/home?image=gustavo.jpg&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/%7eprojects/initiatives.html	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=documents&tab_files=files&do=media&tab_details=view&image=uci_samsung_project_phase3.1_deliverable_final.pdf	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_details=edit&do=media&image=zatt.jpg&ns=	incomplete
duttgroup.ics.uci.edu/doku.php/projects?image=uci_samsung_project_phase3.1_deliverable_final.pdf&ns=&tab_details=view&do=media&tab_files=files	incomplete
www.ics.uci.edu/courses/CS284A/index.html	complete
mailman.ics.uci.edu/mailman/admin/ivecg-faculty	incomplete
www.ics.uci.edu/~smyth/courses/notes.html	incomplete
duttgroup.ics.uci.edu/doku.php/home?rev=1495669791	incomplete
www.ics.uci.edu/~dechter/publications/r71.html	incomplete
www.ics.uci.edu/~wjohnson/BIDA/Ch7/Ch7Rcode.txt	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_files=search&do=media&tab_details=view&image=hosseini.jpg&ns=	incomplete
isg.ics.uci.edu/index.html	complete
duttgroup.ics.uci.edu/doku.php/projects?image=farewell.jpg&ns=&tab_details=view&do=media	complete
duttgroup.ics.uci.edu/doku.php/projects?image=prabhat.jpg&ns=&tab_details=view&do=media	complete
sli.ics.uci.edu/Classes/2013-iCamp?action=login	incomplete
duttgroup.ics.uci.edu/doku.php/iot-care?tab_details=history&image=photos%3Adrg-lab-meeting-oct3-2017.jpg&ns=photos&do=media	incomplete
duttgroup.ics.uci.edu/doku.php/projects?image=ashok.jpg&ns=&tab_details=view&do=media	complete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=nips04.ps	incomplete
www.ics.uci.edu/download/download.inc.php?pid=223&type=bib	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1108	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1109	complete
sli.ics.uci.edu/Classes/2009S?action=login	incomplete
www.ics.uci.edu/~wjohnson/BIDA/Ch9/DiasorinData.txt	incomplete
evoke.ics.uci.edu?p=467&replytocom=4625	incomplete
duttgroup.ics.uci.edu/doku.php/lab_resource?do=recent	incomplete
duttgroup.ics.uci.edu/doku.php/photos?image=alfonso-farewell-lunch-july14-2014-1.jpg&ns=&tab_details=view&do=media	incomplete
sherlock.ics.uci.edu/code.html	complete
www.ics.uci.edu/~dechter/publications/r115.html	incomplete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=R03.pdf	incomplete
duttgroup.ics.uci.edu/doku.php/iot-care?tab_details=history&image=sina.jpg&ns=&do=media	incomplete
sdcl.ics.uci.edu/research/past-projects/lighthouse	complete
duttgroup.ics.uci.edu/doku.php/photos?tab_details=history&image=rahmani.jpg&ns=&do=media	incomplete
duttgroup.ics.uci.edu/doku.php/iot-care?tab_details=view&image=hiroyuki.jpg&ns=&do=media	incomplete
www.ics.uci.edu/computing/email/google_vacation.php	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=photos&tab_files=files&do=media&tab_details=view&image=kyoungwoo.jpg	incomplete
sdcl.ics.uci.edu/2015/06/welcome-gabriel	incomplete
swiki.ics.uci.edu/doku.php/projects:maint-fall?do=backlink	incomplete
www.ics.uci.edu/community/events/openhouse/research08.html	complete
computableplant.ics.uci.edu/papers/2005/CVPR-2005-Abstract.html	complete
dynamo.ics.uci.edu/demo.html	incomplete
www.ics.uci.edu/download/download.inc.php?pid=58&type=bib	incomplete
duttgroup.ics.uci.edu/doku.php/iot-care?image=farewell.jpg&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/events/291967007997834?ref=3&action_history=null	complete
evoke.ics.uci.edu?p=277&replytocom=30577	incomplete
duttgroup.ics.uci.edu/doku.php/sidebar?do=resendpwd	incomplete
www.ics.uci.edu/~kay/courses/i41/final.html	incomplete
sli.ics.uci.edu/Classes/2011W-178?action=download&upname=CS178_L01.pdf	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=documents&tab_files=files&do=media&tab_details=history&image=bbq_2016.jpg	incomplete
sli.ics.uci.edu/Classes/2009W?action=download&upname=CS271-16.pdf	incomplete
www.ics.uci.edu/about/annualreport/2006-07/index.php	complete
checkin.ics.uci.edu/index.php?r=Meeting/admin	incomplete
isg.ics.uci.edu	complete
evoke.ics.uci.edu?one_page_portfolio=social-capital&replytocom=9725	incomplete
evoke.ics.uci.edu?one_page_portfolio=social-capital&replytocom=9724	incomplete
www.ics.uci.edu/~kay/courses/i41	incomplete
www.ics.uci.edu/~kay/courses/i42	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=&tab_files=files&do=media&tab_details=view&image=sookyung.png	incomplete
www.ics.uci.edu/shortbio.html	complete
duttgroup.ics.uci.edu/doku.php/santanu?do=resendpwd	incomplete
sli.ics.uci.edu/Site	incomplete
vision.ics.uci.edu/people/19.html	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=bruberg	complete
www.ics.uci.edu/~lab/acct_activate.php	incomplete
asterix.ics.uci.edu/bigactivedata	incomplete
www.ics.uci.edu/grad/funding/index	complete
support.ics.uci.edu/ics.system/feed.xml	complete
sli.ics.uci.edu/Classes/2009S?action=download&upname=HW3.pdf	incomplete
www.ics.uci.edu/download/download.inc.php?pid=310&type=bib	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=tr2601.pdf	incomplete
sli.ics.uci.edu/Classes/2011F-171?action=download&upname=CS171-L05.pdf	incomplete
www.ics.uci.edu/ugrad/admissions/transfer/index.php	complete
www.ics.uci.edu/~stasio/fall04/reading.html	incomplete
vision.ics.uci.edu/papers/GehlerHW_ICML_2006	incomplete
www.ics.uci.edu/records.html	complete
www.ics.uci.edu/~ucounsel/continuing_students/cheat.html	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=documents&tab_files=files&do=media&tab_details=view&image=prof-tomiyama.jpg	incomplete
www.ics.uci.edu/~lopes/teaching/cs221W14/index.html	complete
sli.ics.uci.edu/Classes-2008F/Main?action=download&upname=forsyth.pdf	incomplete
www.ics.uci.edu/community/news/view_news?id=1229	complete
duttgroup.ics.uci.edu/doku.php/projects?image=ilya.jpg&ns=&tab_details=view&do=media&tab_files=files	incomplete
duttgroup.ics.uci.edu/doku.php/iot-care?image=zatt.jpg&ns=&tab_details=view&do=media	incomplete
mhcid.ics.uci.edu/program/curriculum	complete
www.ics.uci.edu/community/news/view_news?id=1223	complete
www.ics.uci.edu/community/news/view_news?id=1222	complete
www.ics.uci.edu/community/news/view_news?id=1221	complete
www.ics.uci.edu/community/news/view_news?id=1220	complete
www.ics.uci.edu/community/news/view_news?id=1227	complete
www.ics.uci.edu/community/news/view_news?id=1226	complete
www.ics.uci.edu/community/news/view_news?id=1225	complete
www.ics.uci.edu/community/news/view_news?id=1224	complete
www.ics.uci.edu/research/resalloc.html	complete
www.ics.uci.edu/download/download.inc.php?pid=247&type=bib	incomplete
sli.ics.uci.edu/Classes/2011S-274a?action=download&upname=CS274a_L22.pdf	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_files=upload&do=media&tab_details=view&image=mitsuyama-yukio.jpg&ns=	incomplete
www.ics.uci.edu/download/download.inc.php?pid=220&type=bib	incomplete
computableplant.ics.uci.edu/theses/guy/Plenum.html	complete
vision.ics.uci.edu/papers/MartinFM_PAMI_2003	incomplete
duttgroup.ics.uci.edu/doku.php/photos?image=jay_pic.jpg&ns=&tab_details=view&do=media	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_details=history&do=media&image=pradip.jpg&ns=	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=&tab_files=files&do=media&tab_details=history&image=rahmani2.jpg	incomplete
mcs.ics.uci.edu/current-students/once-admitted/orientation	incomplete
www.ics.uci.edu/~wjohnson/BIDA/Ch7/FEVdataAge10to19.txt	incomplete
swiki.ics.uci.edu/doku.php/start?idx=announce	incomplete
www.ics.uci.edu/%7elab/lab_schedule/schedules/364a.html	incomplete
duttgroup.ics.uci.edu/doku.php/publications?rev=1509837585	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_details=history&image=andre2.jpg&ns=&do=media	complete
www.ics.uci.edu/faculty/area/area_software.php	complete
www.ics.uci.edu/bio	complete
duttgroup.ics.uci.edu/doku.php/iot-care?tab_details=view&image=sina.jpg&ns=&do=media	incomplete
duttgroup.ics.uci.edu/doku.php/group?rev=1508207121&do=diff	incomplete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=178_L10.pdf	incomplete
www.ics.uci.edu/~guoqingx/courses/295/schedule.html	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=documents&tab_files=files&do=media&tab_details=view&image=kyoungwoo.jpg	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=presentations&tab_files=files&do=media&tab_details=view&image=logo.png	incomplete
computableplant.ics.uci.edu/papers/2004/links.html	complete
www.ics.uci.edu/../faculty/area/index.php	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=photos&tab_files=files&do=media&tab_details=view&image=alfonso-farewell-lunch-july14-2014-2.jpg	incomplete
duttgroup.ics.uci.edu/doku.php/projects?image=photos%3Afarewell_trent_113012_02.jpg&ns=photos&tab_details=view&do=media&tab_files=files	incomplete
www.ics.uci.edu/ugrad/degrees/Second_BA_DS.php	complete
www.ics.uci.edu/~dvk/pub/SDM05_dvk.html	complete
vision.ics.uci.edu/papers/Sangmin_CVPR_2011	incomplete
www.ics.uci.edu/download/download.inc.php?pid=31&type=bib	incomplete
sli.ics.uci.edu/Classes/2013S-77B	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=&tab_files=files&do=media&tab_details=view&image=hwang.jpg	incomplete
www.ics.uci.edu/~slabbaf	complete
sli.ics.uci.edu/Classes/2012F-273a?action=download&upname=HW3S.pdf	incomplete
www.ics.uci.edu/~jutts/HtWt.txt	complete
www.ics.uci.edu/corporate_partner.php	complete
duttgroup.ics.uci.edu/doku.php/photos?image=santanu.jpg&ns=&tab_details=view&do=media	incomplete
sli.ics.uci.edu/Classes/2011W-178?action=login	incomplete
www.ics.uci.edu/download/download.inc.php?pid=301&type=bib	incomplete
www.ics.uci.edu/~dvk	complete
sli.ics.uci.edu/Site/Search	complete
wics.ics.uci.edu	complete
www.ics.uci.edu/download/download.inc.php?pid=392&type=bib	incomplete
webmail.ics.uci.edu	complete
futurehealth.ics.uci.edu/resources/videos	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=documents&tab_files=files&do=media&tab_details=view&image=prp.jpg	incomplete
www.graphics.ics.uci.edu/gallery.html	incomplete
mailman.ics.uci.edu/mailman/admin/hana-csw	incomplete
mailman.ics.uci.edu/mailman/listinfo/46-tutors	complete
duttgroup.ics.uci.edu/doku.php/publications?tab_details=history&image=sina.jpg&ns=&do=media	incomplete
www.ics.uci.edu/courses/plseminar/2011fall.html	complete
duttgroup.ics.uci.edu/doku.php/home?image=donny.jpg&ns=&tab_details=view&do=media	incomplete
vision.ics.uci.edu/pocv2012/program.html	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_files=search&do=media&tab_details=view&image=gustavo.jpg&ns=	incomplete
www.ics.uci.edu/~feldman/lec11F00.html	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=pjsmyth	complete
duttgroup.ics.uci.edu/doku.php/internal?tab_details=history&image=maity.jpg&ns=&do=media	incomplete
sli.ics.uci.edu/Classes/2012W-178?action=download&upname=L06.pdf	incomplete
duttgroup.ics.uci.edu/doku.php/photos?image=avila-farewell-lunch-july14-2014-1.jpg&ns=&tab_details=view&do=media	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=documents&tab_files=files&do=media&tab_details=view&image=bbq_2016.jpg	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=&tab_files=files&do=media&tab_details=view&image=dutt.png	incomplete
www.ics.uci.edu/community/news/view_news?id=1173	complete
www.ics.uci.edu/~sternh	complete
mcs.ics.uci.edu/career	incomplete
www.ics.uci.edu/~emj/people.html	incomplete
www.ics.uci.edu/download/download.inc.php?pid=251&type=bib	incomplete
support.ics.uci.edu/computing/students	complete
www.ics.uci.edu/computing/network	complete
www.ics.uci.edu/~dechter/publications/r116.html	incomplete
sli.ics.uci.edu/Classes/2013F-273a?action=download&upname=HW5.zip	incomplete
grape.ics.uci.edu/wiki/asterix/timeline?from=2018-02-07T13%3A55%3A10-08%3A00&precision=second	incomplete
www.ics.uci.edu/~ziv/ooad/intro_to_se/sld025.htm	incomplete
www.ics.uci.edu/community/news/student_blogs/blog_posts/Ittai-Mann-December2017.php	complete
www.ics.uci.edu/research.html	complete
www.ics.uci.edu/community/news/view_news?id=1230	complete
www.ics.uci.edu/~tkaczmar	complete
duttgroup.ics.uci.edu/doku.php/home?image=uci_samsung_project_phase1_deliverable_final.pdf&ns=&tab_details=view&do=media	incomplete
evoke.ics.uci.edu?one_page_portfolio=social-capital&replytocom=3901	incomplete
www.ics.uci.edu/~jutts/210	complete
swiki.ics.uci.edu/doku.php/start?rev=1515105859	incomplete
www.ics.uci.edu/~theory/180119.html	incomplete
duttgroup.ics.uci.edu/doku.php/publications?image=tomiyama.jpg&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/~judithgr	complete
duttgroup.ics.uci.edu/doku.php/home?rev=1495669876&do=diff	incomplete
duttgroup.ics.uci.edu/doku.php/group?image=michael.jpg&ns=&tab_details=view&do=media	incomplete
flamingo.ics.uci.edu/releases/docs	incomplete
duttgroup.ics.uci.edu/doku.php/projects?ns=photos&tab_files=files&do=media&tab_details=view&image=hamid.jpg	incomplete
www.ics.uci.edu/~dechter/publications/r187.html	incomplete
student-council.ics.uci.edu/wishlist	incomplete
duttgroup.ics.uci.edu/doku.php/group?tab_details=view&image=photos%3Adrg-lab-meeting-oct3-2017.jpg&ns=photos&do=media	incomplete
www.ics.uci.edu/154	complete
www.ics.uci.edu/~mlevorat/bio.html	complete
evoke.ics.uci.edu/newsite?team_members=caitie-lustig	complete
www.ics.uci.edu/152	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch13/AcheDataExercise13-20.txt	incomplete
www.ics.uci.edu/download/download.inc.php?pid=323&type=bib	incomplete
www.ics.uci.edu/community/news/view_news.php?id=1184	complete
duttgroup.ics.uci.edu/doku.php/internal?tab_details=view&image=hiroyuki.jpg&ns=&do=media	incomplete
duttgroup.ics.uci.edu/doku.php/projects?image=hamid.jpg&ns=&tab_details=view&do=media&tab_files=files	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_files=upload&do=media&tab_details=view&image=gustavo.jpg&ns=	incomplete
swiki.ics.uci.edu/doku.php/start?rev=1517870423&do=diff	incomplete
evoke.ics.uci.edu?p=162&replytocom=31106	incomplete
www.ics.uci.edu/cosmos	complete
sli.ics.uci.edu/Classes/2012F-178?action=login	incomplete
www.ics.uci.edu/~lab/lab_schedule/schedules/189.html	incomplete
www.ics.uci.edu/sao/index.php	complete
duttgroup.ics.uci.edu/doku.php/iot-care?tab_details=history&image=bbq_2016.jpg&ns=&do=media	incomplete
sli.ics.uci.edu/Pubs/Pubs?action=download&upname=ipsn03.pdf	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_details=view&image=maity.jpg&ns=&do=media	complete
www.ics.uci.edu/computing/services/printing.php	complete
sli.ics.uci.edu/Classes/2010W-178?action=download&upname=178_L22.pdf	incomplete
www.ics.uci.edu/~lopes/teaching/inf102S16/index.html	complete
duttgroup.ics.uci.edu/doku.php/projects?ns=photos&tab_files=files&do=media&tab_details=history&image=guto2016.jpg	incomplete
duttgroup.ics.uci.edu/doku.php/photos?image=uci_samsung_project_phase3.2_deliverable_final.pdf&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=sternh	complete
sli.ics.uci.edu/Classes/2015W-178?action=login	incomplete
duttgroup.ics.uci.edu/doku.php/internal?tab_details=history&image=photos%3Adrg-lab-meeting-oct3-2017.jpg&ns=photos&do=media	incomplete
cbcl.ics.uci.edu/doku.php/teaching/cs295w11/start?do=login&sectok=	incomplete
futurehealth.ics.uci.edu/news-events/uci-events	complete
duttgroup.ics.uci.edu/doku.php/projects?tab_files=search&do=media&tab_details=view&image=2015-12-12_09.21.14.jpg&ns=	incomplete
www.ics.uci.edu/~redmiles/adp.html	incomplete
duttgroup.ics.uci.edu/doku.php/publications?image=rahmani2.jpg&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/download/download.inc.php?pid=3&type=bib	incomplete
sli.ics.uci.edu/Classes/2014S-274b?action=download&upname=ProteinSecondStruct.zip	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_files=upload&do=media&tab_details=view&image=ypeak.jpg&ns=	incomplete
www.ics.uci.edu/community/alumni/mentor	incomplete
duttgroup.ics.uci.edu/doku.php/projects?tab_details=edit&do=media&image=alfonso-farewell-lunch-july14-2014-1.jpg&ns=	incomplete
www.ics.uci.edu/grad/funding	complete
www.ics.uci.edu/faculty/area/area_compgraphics.php	complete
www.ics.uci.edu/prospective/zh-tw/uci/student-services	complete
www.ics.uci.edu/~sudeep	incomplete
www.ics.uci.edu/download/download.inc.php?pid=395&type=bib	incomplete
duttgroup.ics.uci.edu/doku.php/photos?image=nick.jpg&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/download/download.inc.php?pid=114&type=bib	incomplete
www.ics.uci.edu/community/events/openhouse/research07.html	complete
ganglia.ics.uci.edu?c=bayonet&m=load_one&r=hour&s=by%20name&hc=4&mc=2	incomplete
duttgroup.ics.uci.edu/doku.php/lab_seminar	complete
duttgroup.ics.uci.edu/doku.php/projects?image=maity.jpg&tab_details=view&do=media&ns=	incomplete
www.ics.uci.edu/MH	incomplete
www.ics.uci.edu/projects	complete
www.ics.uci.edu/~wjohnson/BIDA/Ch13/OvarianCancerData.txt	incomplete
www.ics.uci.edu/faculty/profiles/view_faculty.php?ucinetid=eppstein	complete
swiki.ics.uci.edu/doku.php/projects:maint-fall	complete
duttgroup.ics.uci.edu/doku.php/iot-care?image=hiroyuki.jpg&ns=&tab_details=view&do=media	incomplete
www.ics.uci.edu/~whayes	complete
www.ics.uci.edu/community/news/articles/view_article?id=85	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=84	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=87	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=86	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=81	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=80	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=83	incomplete
www.ics.uci.edu/community/news/articles/view_article?id=82	incomplete
www.ics.uci.edu/~feldman/lec15F00.html	incomplete
www.ics.uci.edu/community/events/openhouse/rfid.php	complete
www.ics.uci.edu/~dechter/courses/ics-295/resources.htm	incomplete
vision.ics.uci.edu/papers/BoF_CVPR_2011	incomplete
